,City,Country,Long,Lat,date,type,value
271," Norfolk County, MA",US,-71.1449,42.1767,2020-02-16,currently ill,0
272," Norfolk County, MA",US,-71.1449,42.1767,2020-02-17,confirmed,0
273," Norfolk County, MA",US,-71.1449,42.1767,2020-02-17,died,0
274," Norfolk County, MA",US,-71.1449,42.1767,2020-02-17,recovered,0
275," Norfolk County, MA",US,-71.1449,42.1767,2020-02-17,currently ill,0
276," Norfolk County, MA",US,-71.1449,42.1767,2020-02-18,confirmed,0
277," Norfolk County, MA",US,-71.1449,42.1767,2020-02-18,died,0
278," Norfolk County, MA",US,-71.1449,42.1767,2020-02-18,recovered,0
279," Norfolk County, MA",US,-71.1449,42.1767,2020-02-18,currently ill,0
280," Norfolk County, MA",US,-71.1449,42.1767,2020-02-19,confirmed,0
281," Norfolk County, MA",US,-71.1449,42.1767,2020-02-19,died,0
282," Norfolk County, MA",US,-71.1449,42.1767,2020-02-19,recovered,0
283," Norfolk County, MA",US,-71.1449,42.1767,2020-02-19,currently ill,0
284," Norfolk County, MA",US,-71.1449,42.1767,2020-02-20,confirmed,0
285," Norfolk County, MA",US,-71.1449,42.1767,2020-02-20,died,0
286," Norfolk County, MA",US,-71.1449,42.1767,2020-02-20,recovered,0
287," Norfolk County, MA",US,-71.1449,42.1767,2020-02-20,currently ill,0
288," Norfolk County, MA",US,-71.1449,42.1767,2020-02-21,confirmed,0
289," Norfolk County, MA",US,-71.1449,42.1767,2020-02-21,died,0
290," Norfolk County, MA",US,-71.1449,42.1767,2020-02-21,recovered,0
291," Norfolk County, MA",US,-71.1449,42.1767,2020-02-21,currently ill,0
292," Norfolk County, MA",US,-71.1449,42.1767,2020-02-22,confirmed,0
293," Norfolk County, MA",US,-71.1449,42.1767,2020-02-22,died,0
294," Norfolk County, MA",US,-71.1449,42.1767,2020-02-22,recovered,0
295," Norfolk County, MA",US,-71.1449,42.1767,2020-02-22,currently ill,0
296," Norfolk County, MA",US,-71.1449,42.1767,2020-02-23,confirmed,0
297," Norfolk County, MA",US,-71.1449,42.1767,2020-02-23,died,0
298," Norfolk County, MA",US,-71.1449,42.1767,2020-02-23,recovered,0
299," Norfolk County, MA",US,-71.1449,42.1767,2020-02-23,currently ill,0
300," Norfolk County, MA",US,-71.1449,42.1767,2020-02-24,confirmed,0
301," Norfolk County, MA",US,-71.1449,42.1767,2020-02-24,died,0
302," Norfolk County, MA",US,-71.1449,42.1767,2020-02-24,recovered,0
303," Norfolk County, MA",US,-71.1449,42.1767,2020-02-24,currently ill,0
304," Norfolk County, MA",US,-71.1449,42.1767,2020-02-25,confirmed,0
305," Norfolk County, MA",US,-71.1449,42.1767,2020-02-25,died,0
306," Norfolk County, MA",US,-71.1449,42.1767,2020-02-25,recovered,0
307," Norfolk County, MA",US,-71.1449,42.1767,2020-02-25,currently ill,0
308," Norfolk County, MA",US,-71.1449,42.1767,2020-02-26,confirmed,0
309," Norfolk County, MA",US,-71.1449,42.1767,2020-02-26,died,0
310," Norfolk County, MA",US,-71.1449,42.1767,2020-02-26,recovered,0
311," Norfolk County, MA",US,-71.1449,42.1767,2020-02-26,currently ill,0
312," Norfolk County, MA",US,-71.1449,42.1767,2020-02-27,confirmed,0
313," Norfolk County, MA",US,-71.1449,42.1767,2020-02-27,died,0
314," Norfolk County, MA",US,-71.1449,42.1767,2020-02-27,recovered,0
315," Norfolk County, MA",US,-71.1449,42.1767,2020-02-27,currently ill,0
316," Norfolk County, MA",US,-71.1449,42.1767,2020-02-28,confirmed,0
317," Norfolk County, MA",US,-71.1449,42.1767,2020-02-28,died,0
318," Norfolk County, MA",US,-71.1449,42.1767,2020-02-28,recovered,0
319," Norfolk County, MA",US,-71.1449,42.1767,2020-02-28,currently ill,0
320," Norfolk County, MA",US,-71.1449,42.1767,2020-02-29,confirmed,0
321," Norfolk County, MA",US,-71.1449,42.1767,2020-02-29,died,0
322," Norfolk County, MA",US,-71.1449,42.1767,2020-02-29,recovered,0
323," Norfolk County, MA",US,-71.1449,42.1767,2020-02-29,currently ill,0
324," Norfolk County, MA",US,-71.1449,42.1767,2020-03-01,confirmed,0
325," Norfolk County, MA",US,-71.1449,42.1767,2020-03-01,died,0
326," Norfolk County, MA",US,-71.1449,42.1767,2020-03-01,recovered,0
